artist.name,title,terms,song_num,artist.hotttnesss,bars_start,beats_start,duration,end_of_fade_in,familiarity,key,latitude,longitude,loudness,mode,start_of_fade_out,tatums_start,tempo,time_signature,year
Blue Rodeo,Floating,country rock,16,0.447935481,1.32118,0.30065,491.12771,0,0.636423645,7,43.64856,-79.38533,-8.576,1,486.034,0.05047,119.826,4,1987
Richard Souther,High Tide,chill-out,17,0.330806357,1.19076,0.24795,228.5971,0.223,0.419943148,8,37.16793,-95.84502,-16.11,1,217.426,0.08584,127.756,5,0
Faiz Ali Faiz,Sohna Nee Sohna Data,qawwali,18,0.306676094,0.90668,0.27615,599.24853,1.193,0.363280571,6,37.15735675,-63.93335787,-8.032,1,591.999,0.12168,99.273,4,0
Tesla,Caught In A Dream,hard rock,19,0.51346329,0.8752,0.05728,290.29832,0.145,0.707199764,7,37.15735675,-63.93335787,-5.271,1,285.605,0.05728,150.062,4,2004
lextrical,Synthetic Dream,indietronica,20,0,0.66829,0.22335,165.69424,0.162,0.32031437,7,37.15735675,-63.93335787,-6.787,1,157.391,0.22335,138.331,4,0
Jimmy Wakely,Broken-Down Merry-Go-Round,classic country,21,0.291539727,0.12236,0.12236,151.84934,2.827,0.39413854,1,34.31109,-94.02978,-15.221,1,146.199,0.12236,86.186,3,0
Alice Stuart,Kassie Jones,electric blues,22,0.328553015,0.46253,0.46253,220.78649,0.206,0.489816269,11,38.8991,-77.029,-8.514,1,207.656,0.16228,110.382,1,0
Elena,Setanta matins,uk garage,23,0.378254686,1.06937,0.51434,269.58322,0,0.677420465,2,49.80388,15.47491,-8.05,1,256.168,0.51434,111.874,4,0
The Dillinger Escape Plan,Setting Fire to Sleeping Giants,math-core,24,0.541888972,1.06698,0.33578,207.77751,0.061,0.839962768,7,40.82624,-74.47995,-4.264,1,204.696,0.15349,166.862,4,2004
SUE THOMPSON,James (Hold The Ladder Steady),pop rock,25,0.306242264,0.70311,0.26706,124.86485,0,0.435415818,10,37.83721,-94.35868,-12.332,1,115.74,0.04025,137.522,4,1985
Five Bolt Main,Made Like This (Live),post-grunge,26,0.363651365,0.08901,0.08901,225.09669,0,0.6090637,7,37.15735675,-63.93335787,-5.908,1,225.097,0.08901,164.672,1,0
Clp,Superconfidential,breakcore,27,0.422705641,0.93643,0.45716,338.31138,0,0.550513698,6,37.15735675,-63.93335787,-6.486,0,338.311,0.21693,125.006,4,0
Tim Wilson,I Think My Wife Is Running Around On Me (Taco Hell),filk,28,0.349912612,0.52648,0.52648,186.48771,1.083,0.459797129,5,32.67828,-83.22295,-4.516,1,175.467,0.07391,90.022,1,2005
Willie Bobo,Spanish Grease,latin jazz,29,0.379671125,1.01964,0.06314,168.25424,0.2,0.588827101,8,40.79195,-73.94512,-9.616,1,161.89,0.06314,127.025,4,1997
Faye Adams,Crazy Mixed Up World,jump blues,30,0.299230368,0.97531,0.3393,156.39465,0.562,0.396455254,8,40.73197,-74.17418,-18.051,1,150.634,0.3393,95.957,3,1961
Terry Callier,Do You Finally Need A Friend,soul jazz,31,0.416173065,0.96908,0.42073,342.56934,0.063,0.706827671,6,41.88415,-87.63241,-11.939,1,333.154,0.13836,110.189,3,1972
John Wesley,The Emperor Falls,disco,32,0.452789477,0.56075,0.56075,484.62322,28.172,0.560557984,4,27.94017,-82.32547,-15.335,0,480.363,0.56075,138.007,4,0
The Shangri-Las,Twist and Shout,doo-wop,33,0.418216518,0.10131,0.10131,164.80608,0,0.640807102,10,40.7038,-73.83168,-10.922,1,156.177,0.10131,130.1,1,1964
Billie Jo Spears,It Makes No Difference Now,classic country,34,0.384611084,0.24118,0.24118,133.32853,0,0.523714637,4,30.08615,-94.10158,-9.983,1,130.009,0.04851,160.839,1,1992
Mike Jones (Featuring CJ_ Mello & Lil' Bran),Laws Patrolling (Album Version),rap,35,0.426317956,0.40866,0.40866,173.66159,0,0.79360508,7,37.15735675,-63.93335787,-7.762,1,164.908,0.05133,41.993,1,0
Sierra Maestra,A?DA3nde va Chichi?,charanga,36,0.392733676,0.76895,0.09309,313.12934,0,0.501544777,9,37.15735675,-63.93335787,-9.512,1,307.688,0.09309,189.646,3,1997
Butthole Surfers,"Barking Dogs (From ""Piouhgd"")",noise rock,37,0.488019842,0.2438,0.2438,450.84689,0.467,0.809323793,4,29.42449,-98.49462,-9.063,0,426.104,0.09307,130.586,4,0
Despina Vandi,OUTE ENA EFHARISTO,dance pop,38,0.41168896,0.10104,0.10104,303.09832,0.067,0.632559542,8,37.15735675,-63.93335787,-8.879,0,294.818,0.10104,128.292,4,0
Javier Navarrete,Midnight Swim,orchestra,39,0.382651971,0.77461,0.77461,128.83546,0,0.597541218,3,37.15735675,-63.93335787,-17.699,1,121.423,0.77461,90.932,3,0
Jacob Young,In A Subtle Way,cool jazz,40,0.294861262,0.92047,0.23284,456.30649,0.241,0.495445922,1,37.15735675,-63.93335787,-19.478,1,451.315,0.06094,89.667,4,0
Scarlet's Remains,Spin,gothic metal,41,0.393121934,0.73465,0.28881,198.73914,0,0.527865076,7,34.05349,-118.24532,-7.469,1,193.016,0.14044,115.061,4,2007
The Suicide Machines,Burning In The Aftermath,ska punk,42,0.467538444,0.90181,0.38075,95.68608,0,0.668674533,2,42.33168,-83.04792,-2.022,1,87.806,0.12215,115.887,4,2003
The Rolling Stones,Angie (1993 Digital Remaster),blues,43,0.735765693,0.15016,0.15016,271.49016,0.171,0.814829656,9,51.50632,-0.12714,-10.358,0,263.784,0.15016,139.333,1,0
Roberto Torres,Sabor Guajiro,salsa,44,0.350078579,0.86592,0.34973,226.66404,0.311,0.482356043,0,37.15735675,-63.93335787,-12.716,1,219.51,0.34973,117.271,4,0
Loudon Wainwright III,Human Cannonball,modern rock,45,0.442765842,1.56662,0.37554,190.48444,0.258,0.661080168,3,35.91463,-79.05661,-15.663,1,177.029,0.37554,102.428,4,1995
R.L. Burnside,Glory Be,delta blues,46,0.466628889,0.93659,0.275,277.78567,0.24,0.701180874,2,34.36401,-89.51877,-6.944,1,267.453,0.275,89.984,4,2004
Stevie Ray Vaughan,Crossfire,texas blues,47,0.544257506,0.74277,0.2077,248.78975,0.183,0.73379894,1,32.77815,-96.7954,-7.805,1,246.19,0.2077,116.721,4,1992
John Hammond,I Can't Be Satisfied,blues,48,0.452817838,0.32071,0.32071,195.3171,0,0.590692918,7,37.15735675,-63.93335787,-10.7,1,187.617,0.32071,123.142,4,2002
Casiotone For The Painfully Alone,Nashville Parthenon,trip hop,49,0.394217199,0.74575,0.32409,175.72526,0.734,0.665322162,0,37.15735675,-63.93335787,-10.93,1,168.699,0.11431,141.919,4,2006
Ec8or,Cocain Ducks,hardcore techno,50,0.33457736,0.47086,0.47086,217.23383,1.042,0.50407567,10,52.51607,13.37698,-9.493,0,213.496,0.15342,95.596,4,1995
The New York Dolls,Human Being,glam rock,51,0.479308459,0.12284,0.12284,344.05832,0.068,0.717670525,11,37.15735675,-63.93335787,-9.253,1,335.029,0.12284,154.953,1,1974
Eliane Elias,The More I See You,brazilian jazz,52,0.427914247,2.90946,0.14772,251.42812,0.071,0.669726188,7,-23.56287,-46.65466,-12.009,1,237.598,0.14772,86.091,5,2009
Lost Boyz,Certain Things We Do,gangster rap,53,0.412240601,0.34237,0.34237,269.7922,0.218,0.569741152,7,37.15735675,-63.93335787,-11.043,1,257.416,0.34237,90.218,4,1997
The Germs,Forming,rock,54,0.40439264,0.05314,0.05314,206.05342,0,0.640048357,11,34.05349,-118.24532,-11.506,0,206.053,0.05314,133.144,1,1977
Yamandu Costa,MafuA!,brazilian jazz,55,0.383475745,0.31943,0.02559,190.04036,0,0.397772876,2,37.15735675,-63.93335787,-14.179,1,176.924,0.02559,205.317,4,0
Chris Rea,Driving Home For Christmas,soft rock,56,0.500691341,0.42366,0.0889,241.162,0.549,0.643182773,9,37.15735675,-63.93335787,-8.531,1,230.342,0.0889,180.149,4,1986
Perrey And Kingsley,Spooks In Space,easy listening,57,0.338414819,0.49054,0.49054,122.64444,0.99,0.411421048,0,37.15735675,-63.93335787,-8.541,0,109.627,0.05812,102.538,4,1966
Eurythmics,Tous Les GarASSons Et Les Filles,dance rock,58,0.523699078,8.99358,2.31778,207.0722,2.583,0.75100762,0,51.50632,-0.12714,-6.629,1,202.757,2.31778,84.164,4,1985
Francis Dunnery,Too Much Saturn,singer-songwriter,59,0.383524247,1.1612,0.67535,300.79955,0,0.54858513,7,54.48303,-3.53444,-13.33,1,298.347,0.42142,124.175,4,1995
John Cale,Movement 4 [from Kiss] (Album Version),experimental rock,60,0.481655862,0.02909,0.02909,228.46649,0,0.749317801,7,37.15735675,-63.93335787,-12.412,1,228.466,0.02909,137.004,1,1997
Suzanne Ciani,Stream,meditation,61,0.380704536,0.96617,0.3834,239.59465,0.311,0.631946666,7,37.77916,-122.42005,-21.552,1,236.507,0.08155,106.33,4,0
Vickie Winans,Make Me Over,ccm,62,0.396855869,1.06091,0.50472,228.93669,0.338,0.653937821,11,37.15735675,-63.93335787,-8.686,0,219.574,0.22871,107.961,4,0
The Berzerker,Deform (live),speedcore,63,0.45755391,0.38387,0.38387,165.61587,2.171,0.668370612,1,-37.81753,144.96715,-6.222,1,165.616,0.21142,174.287,3,2000
Kings Of Leon,Wicker Chair,southern rock,64,0.788805935,1.18583,0.15226,187.92444,0.328,0.845768866,0,36.16778,-86.77836,-5.907,1,180.344,0.15226,116.823,4,2003
Edith Lefel,An ti chans',zouk,65,0.30004649,1.1958,0.01968,276.50567,0.299,0.407455644,0,37.15735675,-63.93335787,-4.638,1,261.956,0.01968,101.972,4,0
Taras,I Will Love Again (JJ's Club Radio),trance,66,0.189314878,0.89225,0.41788,200.25424,0,0.460171324,11,37.15735675,-63.93335787,-5.884,0,194.844,0.1801,127.97,4,0
NOFX,Stickin In My Eye,punk,67,0.554291489,0.76754,0.29609,144.50893,0.237,0.778816717,4,37.15735675,-63.93335787,-7.787,0,140.057,0.0586,152.622,4,1992
Murskahumppa,Ota kiinni,suomi rock,68,0.26803784,0.1737,0.1737,285.17832,0,0.435889847,7,37.15735675,-63.93335787,-8.488,1,275.853,0.1737,110.787,3,0
Soda Stereo,Entre CanAbales,rock,69,0.466826993,1.74155,0.67947,246.69995,0.322,0.711165787,7,37.15735675,-63.93335787,-9.603,1,224.049,0.42263,112.903,4,1990
Bruce Rowland,Rosemary Recalls,easy listening,70,0.30045446,0.36508,0.36508,84.03546,0.328,0.443162398,7,-24.9162,133.39311,-26.266,1,75.79,0.11188,115.642,4,1985
Xcultures,Sudanese Dance,gabba,71,0.266275286,1.21595,0.25377,273.52771,2.177,0.400433514,1,37.15735675,-63.93335787,-6.305,1,268.893,0.25377,125.013,4,2000
White Heart,Where The Thunder Roars (Tales Of Wonder Album Version),ccm,72,0.337507289,0.36873,0.36873,298.84036,19.093,0.477364753,5,37.15735675,-63.93335787,-9.998,1,289.46,0.16818,113.277,4,0
Heavy D / McGruff,Wanna Be A Player,pop rap,73,0.36366811,0.98426,0.36334,161.38404,0.165,0.617870116,5,18.11526,-77.27348,-9.161,0,161.384,0.05327,96.979,4,1997
Van Halen,Panama (Remastered Album Version),heavy metal,74,0.579988982,0.34761,0.34761,209.29261,0,0.744641246,8,37.15735675,-63.93335787,-4.865,1,206.623,0.14268,140.995,1,0
Black Eyed Peas,Let's Get It Started,hip hop,75,1.005941966,1.1904,0.63902,229.61587,0,0.845601887,11,37.15735675,-63.93335787,-4.882,0,213.664,0.36332,105.206,4,2004
Nine Inch Nails,Metal,industrial metal,76,0.598458501,1.76242,0.80838,426.89261,0.286,0.905776889,0,41.50471,-81.69074,-12.951,0,399.9,0.33137,63.017,4,2000
Nick Cave & The Bad Seeds,She Fell Away (2009 Digital Remaster),rock,77,0.479407676,0.85641,0.44094,269.26975,3.889,0.694021648,9,37.15735675,-63.93335787,-11.751,0,262.798,0.23321,144.603,4,0
Nadine Renee,Next Time,freestyle,78,0.139247394,0.50432,0.14912,249.41669,0.647,0.408389022,2,37.15735675,-63.93335787,-6.693,1,238.434,0.14912,167.92,4,0
Lesley Gore,It's My Party,brill building pop,79,0.389100776,0.06727,0.06727,136.48934,0.229,0.606925359,9,40.71455,-74.00712,-9.091,1,130.026,0.06727,129.122,1,1963
Smartbomb,Complicate It,melodic hardcore,80,0.322485106,0.64544,0.19348,233.27302,0.386,0.562463784,0,37.15735675,-63.93335787,-2.658,1,231.178,0.19348,132.022,4,2001
Suburbs,Monde De Fou,british pop,81,0.335651839,0.302,0.302,187.24526,0.107,0.481004583,1,37.15735675,-63.93335787,-4.42,1,178.625,0.13943,183.92,1,2005
Emperor,Opus a Satana (Part 2),heavy metal,82,0.453391186,0.73058,0.73058,72.61995,0,0.742963152,9,64.55653,12.66538,-11.051,0,68.365,0.56271,89.867,4,0
Julien Clerc,This Melody (Live),chanson,83,0.364384925,1.21926,0.19064,272.63955,2.775,0.58547954,2,46.71067,1.71819,-9.97,1,272.64,0.19064,119.896,5,0
Glen Campbell,I'm Gone This Time,country rock,84,0.481024239,0.09896,0.09896,142.75873,0.218,0.67159627,1,34.03142,-93.50243,-11.335,0,135.546,0.09896,137.29,4,0
T.G. Sheppard,You Feel Good All Over,country rock,85,0.343281882,0.52519,0.52519,194.11546,0.089,0.449323615,5,35.82213,-88.91599,-15.581,1,182.729,0.15887,82.343,1,2002
Slim Whitman,Indian Love Call,folk-pop,86,0.386669092,1.87142,0.61665,195.91791,0.165,0.51644378,3,27.94653,-82.45927,-11.98,1,192.087,0.20411,91.487,4,1990
Savage Garden,You Can Still Be Free,easy listening,87,0.538070295,3.56292,0.22888,118.33424,0,0.728209707,9,37.15735675,-63.93335787,-11.215,0,118.334,0.22888,84.69,5,1999
Queens Of The Stone Age,I Never Came,stoner metal,88,0.552413346,0.68393,0.15338,288.41751,0.113,0.798645179,2,37.15735675,-63.93335787,-8.165,1,279.179,0.15338,115.606,4,2005
Hank Penny & The Lincoln Penny Orchestra,Dixie,western swing,89,0.347598889,0.14694,0.14694,123.21914,1.001,0.445854631,7,33.52029,-86.8115,-12.69,0,118.079,0.14694,126.523,1,0
Inspiral Carpets,Commercial Reign,indie rock,90,0.398547535,0.72006,0.18905,283.76771,0,0.605109702,2,53.4796,-2.24881,-8.7,1,271.83,0.18905,113.677,4,1990
Borialis,Hourglass,rap rock,91,0.421415103,1.76995,0.38749,239.3073,0.182,0.454043995,2,37.15735675,-63.93335787,-5.758,1,220.264,0.04274,86.938,4,0
The Dirty Skirts,Wake,indie rock,92,0.404182207,0.55647,0.13404,206.75873,0.096,0.543516131,0,37.15735675,-63.93335787,-4.907,1,193.115,0.13404,141.936,4,0
Flor Silvestre,Caricia Y Herida,ranchera,93,0.313569343,0.24456,0.24456,134.81751,0,0.42054585,11,37.15735675,-63.93335787,-8.133,1,130.723,0.24456,106.049,1,0
BA(c)zu,Le tortillard,chanson,94,0.148985481,1.1332,0.66297,285.64853,0.397,0.373850623,8,37.15735675,-63.93335787,-9.093,1,274.727,0.42645,126.88,4,0
Redman,WKYA (drop),hip hop,95,0.493566843,2.95336,0.65164,124.18567,0,0.743129776,1,37.15735675,-63.93335787,-10.296,0,121.005,0.16161,85.008,5,2001
Solistiyhtye Suomi,TerA$?slintu,german pop,96,0.31781096,0.14324,0.14324,134.08608,4.441,0.13818761,4,37.15735675,-63.93335787,-12.839,0,130.38,0.14324,133.699,1,0
Eddie Cantor,Now's The Time To Fall In Love,easy listening,97,0.331090126,0.23005,0.23005,155.61098,0.154,0.416141023,11,40.71455,-74.00712,-13.71,1,150.75,0.23005,118.975,1,0
Schizoid,Grim Prospects (Gross Prospects - Bad Trip Remix),breakcore,98,0.349192218,0.94655,0.35387,275.40853,0,0.495559652,9,37.15735675,-63.93335787,-2.119,1,272.556,0.35387,102.408,4,0
Kai Winding,Mangos,hard bop,99,0.316354001,1.38242,0.33359,223.4771,0.291,0.430538907,0,56.153,10.20452,-14.438,1,220.026,0.33359,112.006,4,1961
Sonny Simmons,A Distant Voice,free jazz,100,0.317833879,10.84083,1.34066,443.24526,0.23,0.428375417,1,31.84666,-91.657,-13.002,1,430.736,0.33736,45.527,4,0
Mira,Openbare Weg,shoegaze,101,0.345751247,1.66153,0.96449,177.81506,0.554,0.545110951,4,37.15735675,-63.93335787,-12.004,1,167.48,0.61541,85.621,4,2006
Citizen Kaned,President Johnson,chill-out,102,0.277561738,1.59705,0.49298,385.33179,3.048,0.483339422,8,37.15735675,-63.93335787,-8.37,0,382.647,0.07835,108.061,4,2000
The Brooklyn Tabernacle Choir,Lead Me Lord,gospel,103,0.432011947,0.95031,0.38454,324.44036,0,0.559278494,7,37.15735675,-63.93335787,-11.829,1,312.239,0.38454,216.195,5,1995
Ellen McIlwaine,Spontanous Combustion,blues-rock,104,0.325148571,0.8598,0.41287,275.12118,0.34,0.438887475,7,36.16778,-86.77836,-6.29,1,272.933,0.41287,132.428,4,0
Vince Guaraldi / Bola Sete,Choro,latin jazz,105,0.414892612,0.15435,0.15435,294.66077,0.864,0.57810363,5,37.77916,-122.42005,-15.761,0,282.564,0.15435,168.307,4,0
Maurice Chevalier,Ma Louise,chanson,106,0.391585329,0.56594,0.14386,193.20118,0.497,0.502453177,0,37.15735675,-63.93335787,-27.433,1,190.003,0.14386,140.956,7,0
Carl Cox Vs Yousef,I Want You (Forever),tech house,107,0.384184259,0.6235,0.16237,357.82485,0.131,0.541975108,1,37.15735675,-63.93335787,-5.701,1,353.785,0.16237,130.016,5,1991
Organized Konfusion,Hate,hip hop,108,0.412671631,0.41054,0.0684,198.3473,0.201,0.683719468,11,37.15735675,-63.93335787,-8.709,0,182.184,0.0684,175.769,4,1997
Martina McBride,I Can't Stop Loving You,country,109,0.628246419,0.2688,0.2688,261.95546,0,0.614870934,7,37.15735675,-63.93335787,-13.627,1,253.452,0.2688,100.194,3,2005
Horace Andy,Thank You Lord,roots reggae,110,0.374271174,0.87289,0.4435,176.27383,0.183,0.626436382,2,18.01571,-76.79731,-11.479,1,166.911,0.23251,151.911,4,1985
Nazz,How Can You Call That Beautiful (Stewkey Vocal),freakbeat,111,0.384146444,1.0873,0.58561,220.89098,0,0.494681417,9,37.15735675,-63.93335787,-6.302,1,213.107,0.34041,119.691,4,0
Tyrone Davis,Cheatin' In The Next Room,chicago soul,112,0.393215104,0.56138,0.19121,235.91138,0.322,0.543866303,10,33.39847,-91.03786,-10.466,1,219.725,0.19121,161.976,4,0
Hot Tuna,Candy Man,blues-rock,113,0.405178359,0.18671,0.18671,239.59465,0.31,0.567278871,0,37.77916,-122.42005,-9.275,1,231.3,0.18671,172.398,1,1971
Richard Burton,I See The Boys Of Summer,jazz fusion,114,0.28404741,1.49595,0.42142,171.49342,0.085,0.432386477,2,40.99471,-77.60454,-37.398,1,165.216,0.1441,109.823,3,0
Rory Block,Three Is a Crowd,delta blues,115,0.343185045,0.63247,0.63247,266.05669,0.23,0.513829587,1,40.71455,-74.00712,-13.836,1,256.064,0.26631,90.101,1,0
Boyz II Men,On Bended Knee,new jack swing,116,0.601184942,1.00904,0.49144,329.27302,0.45,0.790922848,8,37.15735675,-63.93335787,-7.103,1,322.101,0.23264,116.473,4,1994
Howard Armstrong,My Four Reasons,piedmont blues,117,0,0.97322,0.49835,198.922,0.228,0.454668191,9,35.4948,-85.01235,-13.495,0,190.705,0.26092,126.821,4,0
Donny Hathaway,Little Girl (LP Version),jazz funk,118,0.422472423,1.46125,0.36893,283.21914,0.258,0.657406765,2,41.88415,-87.63241,-15.144,1,277.467,0.0982,111.191,3,1971
Miguel Gallardo,Eternamente Amame,male vocalist,119,0.335101425,1.23225,0.75354,238.68036,0.386,0.45871209,5,37.15735675,-63.93335787,-12.991,1,230.742,0.50536,125.508,4,0
Les Ogres De Barback,Niev nietch nievitch,chanson,120,0.437964733,0.49594,0.49594,254.06649,0.43,0.652367864,4,37.15735675,-63.93335787,-6.01,0,249.562,0.24195,137.888,1,1999
DJ X-Change featuring DJ Joey A,Come Over,ghetto tech,121,0.281284216,1.01631,0.21294,184.31955,0.798,0.342440144,6,37.15735675,-63.93335787,-5.58,0,178.503,0.21294,150.012,4,0
Morel,Blue Taxi,dance pop,122,0.33406579,0.60781,0.05514,311.40526,0,0.49825931,10,38.8991,-77.029,-4.313,1,300.118,0.05514,108.367,4,0
Tony Joe White,I Want Love (Tween You & Me) (Album Version),country rock,123,0.403509673,0.44814,0.09927,162.53342,0.524,0.624723768,2,32.77942,-91.56123,-17.285,1,151.551,0.09927,173.482,4,0
Wolfmother,White Feather,stoner metal,124,0.566971566,1.31008,0.22523,212.37506,0.868,0.79225559,4,37.15735675,-63.93335787,-5.931,0,209.438,0.08957,110.745,4,2009
The Roches,Christlike Roche,singer-songwriter,125,0.372251208,1.06691,0.59466,338.33751,0,0.573605491,2,37.15735675,-63.93335787,-14.248,0,328.986,0.59466,130.027,4,1995
Bob Margolin,You Rascal You,blues-rock,126,0.326848818,0.71979,0.17426,126.51057,0,0.555985053,11,42.31256,-71.08868,-12.651,1,121.702,0.17426,110.168,4,0
Thomas Battenstein,Sympathy,guitar,127,0,1.11556,0.44532,205.58322,0.612,0.42562724,9,37.15735675,-63.93335787,-16.056,0,182.323,0.11215,97.976,3,0
Jupiter Rising,They Say (Album),pop rap,128,0.363177861,0.62823,0.62823,193.4624,2.717,0.662649695,0,37.15735675,-63.93335787,-5.913,0,184.274,0.62823,119.979,4,2007
Dharma Bums,Simon's Folly,progressive house,129,0.345809443,0.95881,0.95881,127.4771,2.148,0.491921881,6,37.15735675,-63.93335787,-5.541,1,118.195,0.76143,156.968,1,0
Saafir,Crawl Before You Ball (Album Version),hip hop,130,0.318902078,0.61434,0.29768,234.762,0.101,0.594779904,5,37.15735675,-63.93335787,-6.019,1,227.84,0.13935,188.886,4,1999
The Verve Pipe,Medicate Myself,post-grunge,131,0.498395338,0.65257,0.20769,292.8322,3.344,0.70334944,9,42.73383,-84.59334,-4.953,1,273.589,0.20769,133.306,4,2001
Bob Neuwirth,Biding Her Time,singer-songwriter,132,0.301502462,0.92398,0.92398,241.10975,2.659,0.434272038,4,40.71455,-74.00712,-18.114,1,230.429,0.92398,152.267,3,1990
Marvin Sapp,More And More  (LP Version),gospel,133,0.459665457,0.72495,0.36318,270.68036,0.334,0.733714697,1,42.99671,-85.59012,-11.061,1,267.906,0.36318,166.275,4,0
James Hunter,Cowboy Ways,blue-eyed soul,134,0.431526919,0.80573,0.29176,188.73424,0,0.625443262,2,30.2676,-97.74298,-7.04,1,178.463,0.29176,114.971,4,0
Nelson Ned,Brasas Vivas,latin jazz,135,0.32188269,0.63479,0.22404,211.80036,0.175,0.498663649,9,37.15735675,-63.93335787,-15.358,0,202.443,0.22404,144.651,4,0
Mish Mash,Kolomeyke,vocal house,136,0.351210537,0.07332,0.07332,254.32771,0,0.505644262,2,37.15735675,-63.93335787,-11.213,1,249.858,0.07332,152.005,1,0
Cama,In This Life,los angeles,137,0.273453727,0.27702,0.27702,210.36363,0.364,0.406187449,1,37.15735675,-63.93335787,-5.904,0,201.497,0.08387,155.074,1,2009
Maxi Priest,Groovin' In The Midnight,lovers rock,138,0.446890727,0.03212,0.03212,301.81832,2.566,0.661001337,10,54.31392,-2.23218,-8.095,0,289.332,0.03212,61.971,1,1991
Porcupine Tree,Waiting,experimental rock,139,0.507965802,0.34798,0.34798,416.80934,0,0.830252262,6,37.15735675,-63.93335787,-7.982,0,396.533,0.0276,124.04,5,1997
Ragheb Alama,A'chek Ouyounik (2009 Digital Remaster),arabesque,140,0.424931835,0.47649,0.16066,413.36118,0,0.554226467,7,37.15735675,-63.93335787,-8.804,0,408.503,0.16066,191.196,4,0
Foo Fighters,Hell,grunge,141,0.550762085,0.58065,0.16757,117.002,0,0.839275393,7,37.15735675,-63.93335787,-5.699,1,114.712,0.16757,152.127,4,2005
Shakira Featuring Wyclef Jean,Hips Don't Lie (featuring Wyclef Jean),dance pop,142,0.682263177,0.71063,0.10911,217.36444,0.224,0.833178561,10,37.15735675,-63.93335787,-5.152,0,212.161,0.10911,100.023,4,0
The Avengers,Juoksuhauta-twist (ElA$?mA$? juoksuhaudoissa),rock,143,0.42251494,0.21429,0.21429,122.72281,4.418,0.574973901,10,37.15735675,-63.93335787,-9.965,1,117.034,0.05795,192.688,4,0
Robben Ford,I Got Over It (Album Version),blues-rock,144,0.383877494,0.78649,0.38868,203.98975,0.161,0.604820432,11,39.15093,-123.2079,-11.976,0,182.921,0.19413,154.322,4,1988
Brazilian Tropical Orchestra,One Less Bell To Answer,bossa nova,145,0.339408486,0.55637,0.2978,192.44363,0.485,0.378013152,5,37.15735675,-63.93335787,-10.229,1,178.66,0.2978,236.006,4,0
Gil Semedo,Festa,zouk,146,0.382869956,0.94607,0.15349,285.36118,0,0.441593442,11,52.1082,5.32986,-6.284,1,274.715,0.15349,150.666,5,0
